index,CID,SMILES,mHash,mHashGeneric
2488,NAU-LAT-42d4957e-1,Cc1ccc(OCC(=O)NCC2NCCc3ccc(S(N)(=O)=O)cc32)cc1,c1ccc(OCCNCC2NCCc3ccccc32)cc1,C1CCC(CCCCCC2CCCC3CCCCC23)CC1
2489,NAU-LAT-42d4957e-2,Cc1ccc(OCC(=O)CCN2CCCc3ccc(S(N)(=O)=O)cc32)cc1,c1ccc(OCCCCN2CCCc3ccccc32)cc1,C1CCC(CCCCCC2CCCC3CCCCC23)CC1
2490,NAU-LAT-42d4957e-3,NS(=O)(=O)c1ccc2c(c1)N(C(=O)N1CCC(O)CC1)CCC2,c1ccc2c(c1)CCCN2CN1CCCCC1,C1CCC(CC2CCCC3CCCCC32)CC1
2491,NAU-LAT-42d4957e-4,Cc1nnc(CN2CCCc3ccc(S(N)(=O)=O)cc32)s1,c1ccc2c(c1)CCCN2Cc1nnc[s]1,C1CCC(CC2CCCC3CCCCC32)C1
2492,NAU-LAT-42d4957e-5,NS(=O)(=O)c1ccc2c(c1)N(CCC(=O)c1c[nH]c3ncccc13)CCC2,c1ccc2c(c1)CCCN2CCCc1c[nH]c2ncccc12,C1CCC2C(C1)CCCC2CCCC1CCC2CCCCC21
2493,NAU-LAT-42d4957e-6,Cc1nnc(Cc2nccc3ccc(S(N)(=O)=O)cc23)s1,c1ccc2c(Cc3nnc[s]3)nccc2c1,C1CCC(CC2CCCC3CCCCC32)C1
2494,MAK-UNK-0955449e-1,CS(=O)(=O)NCCOc1cc2ccncc2cc1Oc1ccccc1F,c1ccc(Oc2ccc3ccncc3c2)cc1,C1CCC(CC2CCC3CCCCC3C2)CC1
2495,MAK-UNK-0955449e-2,CNCc1cc(-c2ccccc2F)n(C(C)NC(=O)CCCNC(C)=O)c1,c1ccc(-c2ccc[nH]2)cc1,C1CCC(C2CCCC2)CC1
2496,MAK-UNK-0955449e-3,CNCc1cc(-c2ccccc2F)n(C(C(=O)NC)c2cccnc2)c1,c1ccc(-c2cccn2Cc2cccnc2)cc1,C1CCC(CC2CCCC2C2CCCCC2)CC1
2497,MAK-UNK-0955449e-4,CNCc1cc(-c2ccccc2F)n(C(CCNC(=O)OC)c2cccnc2)c1,c1ccc(-c2cccn2Cc2cccnc2)cc1,C1CCC(CC2CCCC2C2CCCCC2)CC1
2498,MAK-UNK-0955449e-5,CNCc1cc(-c2ccccc2F)n(C(CC(=O)OCCOC(C)=O)c2cccnc2)c1,c1ccc(-c2cccn2Cc2cccnc2)cc1,C1CCC(CC2CCCC2C2CCCCC2)CC1
2499,MAK-UNK-0955449e-6,CNCc1cc(-c2ccccc2F)n(Cn2ccnc2)c1,c1ccc(-c2cccn2Cn2ccnc2)cc1,C1CCC(C2CCCC2CC2CCCC2)CC1
2500,MAK-UNK-0955449e-7,CNCc1cc(-c2ccccc2F)n(C(C)NC)c1,c1ccc(-c2ccc[nH]2)cc1,C1CCC(C2CCCC2)CC1
2501,MAK-UNK-0955449e-8,CNCc1cc(-c2ccccc2F)n(Cc2ccsc2)c1,c1ccc(-c2cccn2Cc2cc[s]c2)cc1,C1CCC(C2CCCC2CC2CCCC2)CC1
2502,MAK-UNK-0955449e-9,CNCc1cc(-c2ccccc2F)n(CC(N)c2ncc(C)c(C=O)n2)c1,c1ccc(-c2cccn2CCc2ncccn2)cc1,C1CCC(CCC2CCCC2C2CCCCC2)CC1
2503,MAK-UNK-0955449e-10,CNCc1cc(-c2ccccc2F)n(CC/C=C/COC=O)c1,c1ccc(-c2ccc[nH]2)cc1,C1CCC(C2CCCC2)CC1
